bpd	arm	test	key_or_pair	N	canonical_same	max_rel_diff	max_bins
53	G	ordering	149	2826	1	0	0.000
53	G	ordering	150	2974	1	0	0.000
53	G	ordering	151	3981	1	0	0.000
53	G	ordering	152	2954	1	0	0.000
53	G	ordering	153	2436	1	0	0.000
53	G	ordering	154	31	1	0	0.000
53	G	ordering	155	99	1	0	0.000
53	G	ordering	156	946	1	0	0.000
53	G	ordering	157	98	1	0	0.000
53	G	ordering	158	940	1	0	0.000
53	G	ordering	159	83	1	0	0.000
53	G	ordering	160	36	1	0	0.000
53	G	ordering	161	65	1	0	0.000
53	G	ordering	162	58	1	0	0.000
53	G	ordering	163	73	1	0	0.000
53	G	ordering	164	33	1	0	0.000
53	G	ordering	165	64	1	0	0.000
53	G	ordering	166	56	1	0	0.000
53	G	ordering	167	3891	1	0	0.000
53	G	ordering	168	20	1	0	0.000
53	G	ordering	169	162	1	0	0.000
53	G	ordering	170	542	1	0	0.000
53	G	ordering	171	31	1	0	0.000
53	G	ordering	172	39	1	0	0.000
53	G	ordering	173	761	1	0	0.000
53	G	ordering	174	81	1	0	0.000
53	G	ordering	175	1390	1	0	0.000
53	G	ordering	176	380	1	0	0.000
53	G	ordering	177	137670	1	0	0.000
53	G	ordering	178	66	1	0	0.000
53	G	ordering	179	32	1	0	0.000
53	G	ordering	180	842	1	0	0.000
53	G	ordering	181	26	1	0	0.000
53	G	ordering	182	25	1	0	0.000
53	G	ordering	183	450	1	0	0.000
53	G	ordering	184	27	1	0	0.000
53	G	ordering	185	250	1	0	0.000
53	G	ordering	186	21	1	0	0.000
53	G	ordering	187	20	1	0	0.000
53	G	ordering	188	24	1	0	0.000
53	G	ordering	189	816	1	0	0.000
53	G	ordering	190	828	1	0	0.000
53	G	ordering	191	602	1	0	0.000
53	G	ordering	192	29	1	0	0.000
53	G	ordering	193	388	1	0	0.000
53	G	ordering	194	40	1	0	0.000
53	G	ordering	195	1440	1	0	0.000
53	G	ordering	196	26	1	0	0.000
53	G	ordering	197	960	1	0	0.000
53	G	ordering	198	21	1	0	0.000
53	G	ordering	199	1678	1	0	0.000
53	G	merge	0,0+1	128	1	0	0.000
53	G	merge	1,1+1	50	1	0	0.000
53	G	merge	2,2+1	50	1	0	0.000
53	G	merge	3,3+1	50	1	0	0.000
