key_ordinal	n	quantile	oracle	T_int	T_int_err	T_ceil	T_ceil_err	G_int	G_int_err	G_ceil	G_ceil_err
34	777	P1	6	5.757573	-0.040405	5.757573	-0.040405	5.937887	-0.010352	5.937887	-0.010352
34	777	P50	6	6.000208	0.000035	6.000208	0.000035	6.188122	0.031354	6.188122	0.031354
34	777	P75	7	6.997019	-0.000426	6.997019	-0.000426	6.909357	-0.012949	6.909357	-0.012949
34	777	P90	7	7.097357	0.013908	7.097357	0.013908	7.008439	0.001206	7.008439	0.001206
34	777	P95	7	7.131122	0.018732	7.131122	0.018732	7.041780	0.005969	7.041780	0.005969
34	777	P99	8	7.945651	-0.006794	7.945651	-0.006794	7.846104	-0.019237	7.846104	-0.019237
34	777	P999	8	8.149590	0.018699	8.149590	0.018699	8.047489	0.005936	8.047489	0.005936
35	1736	P1	253	250.456620	-0.010053	250.456620	-0.010053	249.459497	-0.013994	249.459497	-0.013994
35	1736	P50	264	265.321048	0.005004	265.308465	0.004956	265.041822	0.003946	265.030156	0.003902
35	1736	P75	269	270.839068	0.006837	270.826223	0.006789	270.153714	0.004289	270.141823	0.004245
35	1736	P90	277	279.037264	0.007355	279.037264	0.007355	278.804366	0.006514	278.804366	0.006514
35	1736	P95	283	284.360816	0.004809	284.360816	0.004809	283.464823	0.001642	283.464823	0.001642
35	1736	P99	297	297.209339	0.000705	297.209339	0.000705	299.048232	0.006896	299.048232	0.006896
35	1736	P999	639	650.584503	0.018129	650.584503	0.018129	647.620749	0.013491	647.620749	0.013491
36	249	P1	1	0.986182	-0.013818	0.986182	-0.013818	1.000585	0.000585	1.000585	0.000585
36	249	P50	1	1.009932	0.009932	1.009932	0.009932	1.024652	0.024652	1.024652	0.024652
36	249	P75	1	1.022221	0.022221	1.022221	0.022221	1.037103	0.037103	1.037103	0.037103
36	249	P90	2	2.034999	0.017500	2.034999	0.017500	1.975138	-0.012431	1.975138	-0.012431
36	249	P95	40	40.053902	0.001348	40.053902	0.001348	39.295211	-0.017620	39.295211	-0.017620
36	249	P99	42	43.379006	0.032833	43.379006	0.032833	43.487534	0.035417	43.487534	0.035417
36	249	P999	602	616.130267	0.023472	616.130267	0.023472	620.087291	0.030045	620.087291	0.030045
37	542	P1	3	2.900056	-0.033315	2.900056	-0.033315	2.975459	-0.008180	2.975459	-0.008180
37	542	P50	4	3.998384	-0.000404	3.997980	-0.000505	3.927933	-0.018017	3.927536	-0.018116
37	542	P75	4	4.053294	0.013324	4.053294	0.013324	3.981876	-0.004531	3.981876	-0.004531
37	542	P90	4	4.086602	0.021650	4.086602	0.021650	4.014597	0.003649	4.014597	0.003649
37	542	P95	5	4.968292	-0.006342	4.968292	-0.006342	5.097470	0.019494	5.097470	0.019494
37	542	P99	5	5.066154	0.013231	5.066154	0.013231	5.197876	0.039575	5.197876	0.039575
37	542	P999	42	42.693512	0.016512	42.693512	0.016512	43.803563	0.042942	43.803563	0.042942
38	1610	P1	1	0.978961	-0.021039	0.978961	-0.021039	1.000459	0.000459	1.000459	0.000459
38	1610	P50	1	1.000027	0.000027	1.000000	0.000000	1.021988	0.021988	1.021960	0.021960
38	1610	P75	1	1.010934	0.010934	1.010934	0.010934	1.033134	0.033134	1.033134	0.033134
38	1610	P90	1	1.017557	0.017557	1.017530	0.017530	1.039903	0.039903	1.039875	0.039875
38	1610	P95	1	1.019756	0.019756	1.019756	0.019756	1.042150	0.042150	1.042150	0.042150
38	1610	P99	1	1.021519	0.021519	1.021519	0.021519	1.043952	0.043952	1.043952	0.043952
38	1610	P999	1	1.021933	0.021933	1.021933	0.021933	1.044374	0.044374	1.044374	0.044374
39	1601	P1	1	0.978963	-0.021037	0.978963	-0.021037	1.000461	0.000461	1.000461	0.000461
39	1601	P50	1	1.000014	0.000014	1.000014	0.000014	1.021974	0.021974	1.021974	0.021974
39	1601	P75	1	1.010927	0.010927	1.010927	0.010927	1.033127	0.033127	1.033127	0.033127
39	1601	P90	1	1.017533	0.017533	1.017533	0.017533	1.039878	0.039878	1.039878	0.039878
