key_ordinal	n	quantile	oracle	T_int	T_int_err	T_ceil	T_ceil_err	G_int	G_int_err	G_ceil	G_ceil_err
31	623	P95	4	4.063135	0.015784	4.063135	0.015784	3.991543	-0.002114	3.991543	-0.002114
31	623	P99	5	5.079648	0.015930	5.079648	0.015930	5.211721	0.042344	5.211721	0.042344
31	623	P999	122	126.491106	0.036812	126.491106	0.036812	124.262367	0.018544	124.262367	0.018544
32	623	P1	1	1.024859	0.024859	1.024859	0.024859	1.034368	0.034368	1.034368	0.034368
32	623	P50	3	2.965782	-0.011406	2.965782	-0.011406	2.993299	-0.002234	2.993299	-0.002234
32	623	P75	3	3.042028	0.014009	3.042028	0.014009	3.070252	0.023417	3.070252	0.023417
32	623	P90	4	4.058253	0.014563	4.058253	0.014563	3.921769	-0.019558	3.921769	-0.019558
32	623	P95	4	4.113838	0.028460	4.113838	0.028460	3.975485	-0.006129	3.975485	-0.006129
32	623	P99	5	5.052849	0.010570	5.052849	0.010570	5.099730	0.019946	5.099730	0.019946
32	623	P999	74	76.345182	0.031692	76.345182	0.031692	77.053515	0.041264	77.053515	0.041264
33	623	P1	1	1.029197	0.029197	1.029197	0.029197	1.038746	0.038746	1.038746	0.038746
33	623	P50	3	2.987203	-0.004266	2.987203	-0.004266	3.014919	0.004973	3.014919	0.004973
33	623	P75	4	3.986712	-0.003322	3.986712	-0.003322	3.852634	-0.036841	3.852634	-0.036841
33	623	P90	4	4.092000	0.023000	4.092000	0.023000	3.954381	-0.011405	3.954381	-0.011405
33	623	P95	4	4.127710	0.031928	4.127710	0.031928	3.988890	-0.002777	3.988890	-0.002777
33	623	P99	5	5.052849	0.010570	5.052849	0.010570	5.099730	0.019946	5.099730	0.019946
33	623	P999	145	146.487477	0.010258	146.487477	0.010258	147.846593	0.019632	147.846593	0.019632
34	623	P1	1	1.014259	0.014259	1.014259	0.014259	1.023669	0.023669	1.023669	0.023669
34	623	P50	3	2.939743	-0.020086	2.939743	-0.020086	2.967018	-0.010994	2.967018	-0.010994
34	623	P75	3	3.013637	0.004546	3.013637	0.004546	3.041598	0.013866	3.041598	0.013866
34	623	P90	3	3.058571	0.019524	3.058571	0.019524	3.086948	0.028983	3.086948	0.028983
34	623	P95	4	4.050452	0.012613	4.050452	0.012613	3.914230	-0.021442	3.914230	-0.021442
34	623	P99	5	5.163811	0.032762	5.163811	0.032762	5.211721	0.042344	5.211721	0.042344
34	623	P999	177	182.028807	0.028411	182.028807	0.028411	183.717676	0.037953	183.717676	0.037953
35	623	P1	1	1.029197	0.029197	1.029197	0.029197	1.038746	0.038746	1.038746	0.038746
35	623	P50	3	2.989957	-0.003348	2.989957	-0.003348	3.017698	0.005899	3.017698	0.005899
35	623	P75	3	3.058737	0.019579	3.058737	0.019579	3.087116	0.029039	3.087116	0.029039
35	623	P90	4	4.082615	0.020654	4.082615	0.020654	3.945311	-0.013672	3.945311	-0.013672
35	623	P95	4	4.125130	0.031283	4.125130	0.031283	3.986397	-0.003401	3.986397	-0.003401
35	623	P99	66	67.015901	0.015392	67.015901	0.015392	67.637676	0.024813	67.637676	0.024813
35	623	P999	165	166.879993	0.011394	166.879993	0.011394	168.428311	0.020778	168.428311	0.020778
36	623	P1	1	1.014422	0.014422	1.014422	0.014422	1.038746	0.038746	1.038746	0.038746
36	623	P50	3	2.920650	-0.026450	2.920650	-0.026450	2.990683	-0.003106	2.990683	-0.003106
36	623	P75	3	2.992729	-0.002424	2.992729	-0.002424	3.064489	0.021496	3.064489	0.021496
36	623	P90	4	3.982259	-0.004435	3.982259	-0.004435	3.904382	-0.023904	3.904382	-0.023904
36	623	P95	4	4.043674	0.010919	4.043674	0.010919	3.964596	-0.008851	3.964596	-0.008851
36	623	P99	4	4.093892	0.023473	4.093892	0.023473	4.013832	0.003458	4.013832	0.003458
36	623	P999	74	75.249166	0.016881	75.249166	0.016881	77.053515	0.041264	77.053515	0.041264
37	623	P1	2	1.986376	-0.006812	1.986376	-0.006812	1.919572	-0.040214	1.919572	-0.040214
37	623	P50	3	2.936846	-0.021051	2.936846	-0.021051	2.964094	-0.011969	2.964094	-0.011969
37	623	P75	3	3.005808	0.001936	3.005808	0.001936	3.033696	0.011232	3.033696	0.011232
37	623	P90	3	3.047688	0.015896	3.047688	0.015896	3.075965	0.025322	3.075965	0.025322
37	623	P95	3	3.061778	0.020593	3.061778	0.020593	3.090185	0.030062	3.090185	0.030062
37	623	P99	4	4.144964	0.036241	4.144964	0.036241	4.005564	0.001391	4.005564	0.001391
37	623	P999	145	146.487477	0.010258	146.487477	0.010258	147.846593	0.019632	147.846593	0.019632
38	623	P1	1	1.018582	0.018582	1.018582	0.018582	1.028033	0.028033	1.028033	0.028033
38	623	P50	3	2.939194	-0.020269	2.939194	-0.020269	2.966464	-0.011179	2.966464	-0.011179
38	623	P75	3	3.011467	0.003822	3.011467	0.003822	3.039408	0.013136	3.039408	0.013136
38	623	P90	3	3.055395	0.018465	3.055395	0.018465	3.083743	0.027914	3.083743	0.027914
38	623	P95	4	4.024920	0.006230	4.024920	0.006230	3.889557	-0.027611	3.889557	-0.027611
38	623	P99	4	4.155571	0.038893	4.155571	0.038893	4.015814	0.003953	4.015814	0.003953
38	623	P999	176	182.028807	0.034255	182.028807	0.034255	183.717676	0.043850	183.717676	0.043850
39	623	P1	1	0.999675	-0.000325	0.999675	-0.000325	1.025667	0.025667	1.025667	0.025667
39	623	P50	3	2.941895	-0.019368	2.941895	-0.019368	3.018385	0.006128	3.018385	0.006128
39	623	P75	3	3.014497	0.004832	3.014497	0.004832	3.092875	0.030958	3.092875	0.030958
39	623	P90	4	4.024106	0.006026	4.024106	0.006026	3.953202	-0.011699	3.953202	-0.011699
